,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Angle,Length
37,0.019,55.209,60.928,18.333,239.466,6.996,1.577,0,0,97.878,2.47
38,0.016,79.294,27.863,30.44,190.256,6.381,3.473,0,0,41.002,2.028
39,0.024,64.227,41.091,14.007,237.341,5.615,3.169,0,0,13.289,3.146
40,0.02,87.746,42.082,17.395,223.569,5.996,2.246,0,0,-26.026,2.56
41,0.023,56.159,39.715,19.047,232.233,5.985,1.831,0,0,-40.066,3.035
42,0.012,72.136,65.104,19.488,244.16,6.885,2.046,0,0,-71.046,1.61
43,0.013,67.65,66.16,18.667,240.486,6.915,1.985,0,0,-74.338,1.71
44,0.014,59.294,43.768,23.152,230.17,6.408,2.292,0,0,-34.912,1.801
45,0.025,65.026,37.075,24.489,228.292,5.662,2.177,0,0,-23.019,3.226
46,0.029,55.849,36.869,20.088,217.919,5.331,2.342,0,0,-14.378,3.748
47,0.029,72.654,54.178,19.809,246.458,5.292,2.704,0,0,-3.206,3.714
48,0.029,60.906,47.856,13.767,243.707,5.308,3.027,0,0,6.8,3.703
49,0.026,62.011,36.39,26.793,232.04,5.558,3.335,0,0,18.352,3.347
50,0.015,71.8,39.921,29.195,235.512,6.262,3.188,0,0,23.289,1.926
51,0.021,68.741,52.769,14.385,241.428,5.765,2.842,0,0,1.436,2.762
52,0.016,82.121,37.419,25.175,225.247,6.181,2.504,0,0,-17.471,2.024
53,0.025,66.186,41.91,20.363,230.871,5.831,1.854,0,0,-35.948,3.25
54,0.018,75.275,39.293,26.417,229.77,6.285,2.069,0,0,-40.601,2.269
55,0.017,69.831,49.383,24.441,240.638,6.45,1.931,0,0,-51.555,2.239
56,0.017,44.284,30.986,15.525,224.345,7.269,3.923,0,0,96.297,2.244
57,0.024,55.423,34.585,4.871,232.725,7.142,4.338,0,0,89.856,3.062
58,0.014,76.934,35.444,30.507,200.504,6.423,3.381,0,0,38.399,1.845
59,0.026,81.714,56.418,5.667,243.729,5.477,2.858,0,0,1.716,3.34
60,0.032,59.261,48.747,19.99,245.704,5.073,2.95,0,0,3.927,4.156
61,0.041,77.01,43.938,19.916,230.122,4.723,1.781,0,0,-22.968,5.263
62,0.014,59.011,48.806,19.256,235.647,6.496,2.181,0,0,-43.965,1.806
63,0.017,71.171,53.204,23.436,243.046,6.65,1.804,0,0,-63.699,2.24
64,0.016,63.962,59.731,18.595,239.469,6.842,1.792,0,0,-73.341,2.12
65,0.021,46.331,61.693,13.333,234.88,7.296,1.485,0,0,-96.468,2.663
66,0.017,66.898,53.732,22.333,242.011,6.673,1.819,0,0,-64.424,2.192
67,0.033,57.172,34.315,20.333,221.236,5.027,2.377,0,0,-11.49,4.325
68,0.019,66.055,40.359,21.328,238.894,5.938,3.142,0,0,15.486,2.506
69,0.017,60.794,31.035,36.667,232.425,6.473,3.673,0,0,52.125,2.193
70,0.027,58.375,27.314,25.688,227.749,6.308,4.342,0,0,61.349,3.497
71,0.028,65.142,28.292,30.667,178.667,5.658,3.804,0,0,33.792,3.582
72,0.03,67.08,31.57,18,241.331,5.369,3.612,0,0,24.341,3.901
73,0.016,44.839,37.885,14.875,234.681,7.042,3.846,0,0,84.289,2.087
74,0.035,77.866,44.029,12.367,229.666,4.9,2.523,0,0,-7.222,4.528
75,0.02,48.466,39.612,21.185,229.922,5.938,2.315,0,0,-22.178,2.608
76,0.025,46.443,36.906,14.337,224.115,5.6,2.338,0,0,-16.882,3.232
77,0.018,65.718,54.256,17.533,242.263,6.538,1.827,0,0,-58.217,2.308
78,0.012,69.462,75.352,12.109,239.611,7.108,2.042,0,0,-87.123,1.533
79,0.021,77.33,42.443,22.844,229.847,5.935,2.131,0,0,-29.193,2.776
80,0.013,75.428,45.171,13.887,236.351,6.342,3.092,0,0,19.497,1.705
81,0.013,66.015,29.536,32,189.681,6.454,3.315,0,0,36.254,1.717
82,0.026,95.726,45.163,35.763,218.007,6.031,4.092,0,0,49.033,3.403
83,0.025,84.523,41.424,30.333,221.358,5.9,3.838,0,0,39.596,3.234
84,0.03,61.987,44.818,18.377,244.434,5.215,2.731,0,0,-2.281,3.865
85,0.024,46.549,37.504,20.159,227.982,5.673,2.319,0,0,-18.345,3.104
86,0.025,55.457,42.662,12.965,222.073,5.688,2.096,0,0,-26.018,3.244
87,0.022,55.638,49.06,17.333,239.252,6.338,1.608,0,0,-56.056,2.893
88,0.014,66.36,38.589,4.447,234.028,7.138,3.712,0,0,89.512,1.808
89,0.03,79.487,28.479,24.259,230.923,5.412,3.662,0,0,24.871,3.841
90,0.026,67.482,35.941,16.848,244.263,5.573,2.342,0,0,-17.932,3.323
91,0.028,68.111,44.71,18.048,230.858,5.665,1.808,0,0,-35.101,3.639
92,0.021,47.575,59.735,14.517,238.618,6.85,1.535,0,0,-77.03,2.708
93,0.016,72.026,39.116,21.505,235.777,6.162,3.046,0,0,12.863,2.004
94,0.029,47.615,30.462,18.369,239.162,5.442,3.592,0,0,24.395,3.725
95,0.021,41.768,30.076,15.346,235.073,7.281,4.154,0,0,96.104,2.677
96,0.031,68.392,38.345,19.337,243.223,5.154,2.415,0,0,-11.609,4.052
97,0.03,70.298,40.34,19.715,226.255,5.308,2.088,0,0,-21.864,3.945
98,0.025,56.673,36.244,15.667,228.405,5.992,1.7,0,0,-44.417,3.209
99,0.019,56.518,52.342,19.667,239.322,6.65,1.681,0,0,-66.848,2.485
100,0.022,72.202,55.716,18.5,229.067,5.785,2.35,0,0,-19.261,2.868
101,0.022,67.126,49.223,13.329,245.138,5.712,2.842,0,0,0.772,2.854
102,0.019,57.463,40.134,26.684,233.799,5.912,3.104,0,0,12.89,2.517
103,0.029,70.144,30.543,20,158.317,5.512,3.819,0,0,31.479,3.815
104,0.022,71.09,30.606,37.667,230.818,6.223,3.935,0,0,50.528,2.88
105,0.026,77.661,28.495,31.274,225.763,6.077,4.112,0,0,50.516,3.339
106,0.018,73.459,43.183,26.924,240.04,6.081,3.269,0,0,22.871,2.296
107,0.021,61.15,40.029,10.083,236.755,5.823,3.031,0,0,8.973,2.663
108,0.028,75.518,34.977,22.12,225.572,5.392,2.285,0,0,-17.138,3.655
109,0.023,65.518,39.093,18.358,231.603,6.212,1.646,0,0,-51.777,2.996
110,0.021,50.577,55.265,18,239.358,6.742,1.546,0,0,-72.764,2.674
111,0.019,52.281,65.484,13.333,238.748,7.192,1.612,0,0,-92.545,2.425
112,0.018,48.81,35.821,18.778,205.711,6.254,2.062,0,0,-40.724,2.335
113,0.023,70.915,40.549,24.145,226.549,5.762,2.235,0,0,-23.141,2.995
114,0.021,65.246,45.716,12.924,243.467,5.781,2.581,0,0,-10.119,2.758
115,0.026,77.505,45.807,20.069,235.717,5.465,2.927,0,0,3.552,3.353
116,0.031,55.19,29.432,16.333,227.378,5.315,3.692,0,0,25.491,4.039
