,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Angle,Length
1,3.19E-06,42.752,53.121,0,248.537,0.072,0.028,0,0,180,0.041
2,3.09E-06,52.493,57.339,4.333,243.333,0.072,0.029,0,0,90,0.04
3,513,52.493,57.339,4.333,243.333,922,368,0,0,90,512
4,525,47.444,38.057,20.549,241.309,669,354,0,0,180,523.75
5,0.023,78.12,45.408,11.888,225.129,6.765,4.215,0,0,-105.781,2.943
6,0.027,76.465,45.184,16.716,230.816,5.453,3.242,0,0,-165.51,3.542
7,0.019,78.326,54.37,12.977,247.889,5.915,2.958,0,0,-172.81,2.526
8,0.015,75.322,43.531,25.514,227.344,6.276,2.446,0,0,158.284,1.919
9,0.021,49.888,55.038,13,225.54,7.246,1.465,0,0,86.537,2.674
10,0.032,56.806,49.431,17.185,242.901,5.08,2.812,0,0,-179.683,4.176
11,0.031,61.721,37.364,23.506,234.133,5.238,3.365,0,0,-163.648,4.023
12,0.028,70.065,42.14,20.129,230.613,5.396,2.373,0,0,166.434,3.647
13,0.017,75.092,58.84,11.9,245.72,6.084,2.862,0,0,-176.741,2.172
14,0.027,67.762,37.853,28.21,240.511,5.557,3.523,0,0,-155.784,3.532
15,0.038,51.011,37.054,14.736,235.153,4.734,3.323,0,0,-167.856,4.979
16,0.023,65.671,42.696,21.333,230.002,5.657,2.627,0,0,173.451,3.042
17,0.016,53.062,49.98,19.287,241.808,6.334,2.135,0,0,141.308,2.134
18,0.023,54.606,52.309,20.016,241.622,6.63,1.442,0,0,111.493,2.921
19,0.021,50.181,54.792,14.333,223.858,7.238,1.446,0,0,86.91,2.711
20,0.018,53.406,28.306,16.333,204.029,7.334,3.938,0,0,-81.545,2.301
21,0.021,46.971,28.494,15.333,192.672,7.311,4.123,0,0,-83.696,2.662
22,0.029,86.04,43.208,33.333,228.887,5.83,4.158,0,0,-134.509,3.812
23,0.024,69.208,35.382,29.576,234.191,5.792,3.512,0,0,-152.606,3.099
24,0.026,80.541,44.497,27.572,233.58,5.542,3.231,0,0,-165.136,3.365
25,0.022,58.29,42.459,20.496,230.972,5.923,2.173,0,0,153.222,2.789
26,0.021,47.345,46.662,18.725,238.73,6.126,1.919,0,0,139.697,2.728
27,0.02,52.134,61.144,16.26,231.599,7.115,1.527,0,0,92.249,2.548
28,0.019,69.258,52.72,14.087,244.226,6.461,1.819,0,0,125.665,2.418
29,0.018,66.959,50.663,8.231,228.136,6.03,2.631,0,0,171.517,2.301
30,0.026,58.065,56.011,14.249,239.546,5.503,2.819,0,0,-179.337,3.33
31,0.038,50.787,43.536,13.972,246.702,4.7,3.069,0,0,-173.768,4.967
32,0.021,55.308,33.669,17.073,205.625,7.092,4.127,0,0,-93.152,2.658
33,0.024,90.309,72.309,12.256,226.536,6.984,4.323,0,0,-96.769,3.068
34,0.031,50.986,37.226,25.357,242.604,5.284,3.45,0,0,-160.935,3.986
35,0.04,81.321,51.131,16.753,225.11,4.596,2.408,0,0,171.318,5.205
36,0.014,69.8,62.096,20.667,244.125,6.726,2.012,0,0,119.078,1.808
