Angle
3.46
0.52
-3.59
-0.37
-8.93
-2.67
7.41
-11.24
10.67
6.93
-0.98
-5.91
-4.31
12.09
-0.41
3.34
-4.69
-2.9
-8.03
12.07
-11.65
6.68
6.71
-11.22
4.63
-1.49
-8.97
5.7
5.7
9.3
-13.19
11.18
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
